phase,frame,turningRadius,rearBodyPosX,rearBodyPosY,rearBodyHeading,centerOfRotationX,centerOfRotationY,jointAngle
FORWARD.STOPPED.STEERING,1,3.68E+05,-3.47E-18,3.39E-21,-1.41E-08,7.19056,-3.68E+05,1.27E-05
FORWARD.STOPPED.STEERING,2,3.70E+05,1.60E-05,-1.75E-06,-2.71E-08,7.22432,-3.70E+05,1.27E-05
FORWARD.STOPPED.STEERING,3,1211.12,0.000445167,0.000204852,-0.00115942,1.40898,1211.12,-0.0038563
FORWARD.STOPPED.STEERING,4,510.405,0.00184652,0.000548792,-0.0027856,1.44155,510.403,-0.00915024
FORWARD.STOPPED.STEERING,5,310.387,0.00452692,0.00104227,-0.00460726,1.45629,310.385,-0.0150463
FORWARD.STOPPED.STEERING,6,220.368,0.00865901,0.00171282,-0.00652646,1.47025,220.365,-0.0211916
FORWARD.STOPPED.STEERING,7,170.332,0.0142687,0.00253833,-0.00847966,1.48277,170.328,-0.0274151
FORWARD.STOPPED.STEERING,8,138.713,0.021381,0.00351202,-0.0104437,1.4946,138.709,-0.0336615
FORWARD.STOPPED.STEERING,9,116.975,0.0300172,0.00463089,-0.0124067,1.50603,116.97,-0.0399133
FORWARD.STOPPED.STEERING,10,101.633,0.0395955,0.00555069,-0.0141838,1.50587,101.629,-0.0459332
FORWARD.STOPPED.STEERING,11,90.1201,0.0499205,0.00616116,-0.0157735,1.49608,90.115,-0.0517951
FORWARD.STOPPED.STEERING,12,81.0504,0.0609212,0.00641787,-0.0172019,1.47969,81.0448,-0.0575835
FORWARD.STOPPED.STEERING,13,73.6897,0.0725224,0.00626811,-0.0184752,1.45841,73.6833,-0.0633262
FORWARD.STOPPED.STEERING,14,67.5752,0.0845988,0.00573453,-0.019645,1.43658,67.5679,-0.0690452
FORWARD.STOPPED.STEERING,15,62.4221,0.0970566,0.00479405,-0.0207099,1.41438,62.4134,-0.0747324
FORWARD.STOPPED.STEERING,16,58.0208,0.109802,0.0034415,-0.0216644,1.39156,58.0107,-0.0803865
FORWARD.STOPPED.STEERING,17,54.2163,0.122757,0.00169508,-0.0225111,1.36827,54.2042,-0.0860108
FORWARD.STOPPED.STEERING,18,50.8898,0.135852,-0.000409333,-0.0232556,1.34473,50.8756,-0.091614
